"","Rk","Player","Age","Pos","GP","G","A","PTS","+/-","PIM","EV","PP","SH","GW","S","S%","TOI","ATOI","OPS","DPS","PS","BLK","HIT","FOW","FOL","FO%","TEAM"
"972","26","Braden Holtby","27","G","63","0","0","0","0","0","0","0","0","0","1","0.0","3680","58:25","0.0","0.0","12.3","0","0","0","0","","WSH"
"973","27","Garrett Mitchell","25","RW","1","0","0","0","0","0","0","0","0","0","0","","9","8:48","0.0","0.0","0.0","0","2","0","1","0.0","WSH"
"974","28","Aaron Ness","26","D","2","0","0","0","-1","0","0","0","0","0","0","","26","12:50","0.0","0.0","-0.1","2","2","0","0","","WSH"
"975","29","Liam O'Brien","22","LW","1","0","0","0","0","0","0","0","0","0","0","","6","6:08","0.0","0.0","0.0","0","1","0","0","","WSH"
"976","30","Chandler Stephenson","22","C","4","0","0","0","0","0","0","0","0","0","3","0.0","36","8:53","-0.1","0.0","-0.1","0","0","12","13","48.0","WSH"
"977","1","Jeff Skinner","24","LW","79","37","26","63","-3","28","18","8","0","4","281","13.2","1401","17:44","7.1","1.7","8.8","28","33","10","17","37.0","CAR"
"978","2","Sebastian Aho","19","RW","82","24","25","49","-1","26","13","11","1","4","214","11.2","1377","16:47","4.2","1.8","5.9","14","51","17","18","48.6","CAR"
"979","3","Victor Rask","23","C","82","16","29","45","-10","16","22","6","1","3","186","8.6","1418","17:18","2.7","1.4","4.2","33","43","457","461","49.8","CAR"
"980","4","Jordan Staal","28","C","75","16","29","45","-1","38","25","4","0","3","164","9.8","1400","18:40","2.8","1.8","4.6","29","139","688","477","59.1","CAR"
"981","5","Elias Lindholm","22","C","72","11","34","45","-2","16","21","9","4","0","151","7.3","1309","18:11","2.5","1.6","4.1","43","99","353","282","55.6","CAR"
"982","6","Teuvo Teravainen","22","LW","81","15","27","42","-6","16","17","10","0","2","169","8.9","1315","16:14","2.6","1.5","4.1","33","27","193","220","46.7","CAR"
